year,month,county,GarbageGenerated,GarbageClearance,GarbageRecycled,FoodWastesRecycled,BulkWasteRecyclingandReuse
109,10,金門縣,619.96,619.96,"1,332.14",418.41,37.73
109,10,連江縣,201.47,201.47,263.09,279.22,49.12
109,10,新北市,43161.07,35698.33,"95,007.20","10,497.47",302.01
109,10,臺北市,15841.68,13523.70,"36,381.97","5,184.59",914.75
109,10,桃園市,42539.52,40539.02,"55,434.90","2,920.00",330.59
109,10,臺中市,39404.82,28372.54,"46,687.20","6,352.63",639.59
109,10,臺南市,26034.07,22795.62,"43,994.26","4,943.57",626.99
109,10,高雄市,52994.26,41319.13,"59,468.72","2,725.24",21.06
109,10,宜蘭縣,6816.00,6406.66,"8,741.85",865.78,177.92
109,10,新竹縣,7981.41,7776.44,"11,450.79",757.17,154.33
109,10,苗栗縣,7402.80,6695.24,"9,990.35","1,397.18",155.79
109,10,彰化縣,20811.30,18238.39,"27,837.07","1,418.98",111.51
109,10,南投縣,7822.75,7580.49,"10,745.66",603.90,58.25
109,10,雲林縣,8283.47,8209.73,"10,648.69","1,050.33",173.77
109,10,嘉義縣,5871.03,5264.89,"9,357.75","1,134.92",94.98
109,10,屏東縣,11726.10,11704.72,"15,209.46",873.82,55.31
109,10,臺東縣,3397.34,3237.12,"4,943.85",437.62,2.84
109,10,花蓮縣,5189.79,5189.79,"5,992.84",554.20,21.42
109,10,澎湖縣,1975.86,1490.71,"1,813.38",408.93,38.42
109,10,基隆市,8269.28,7458.49,"9,011.33",585.48,26.14
109,10,新竹市,6885.36,6420.36,"9,310.53","1,074.57",330.90
109,10,嘉義市,4579.30,4429.66,"5,719.15",581.82,149.79
109,9,桃園市,38634.55,36591.92,"56,339.55","2,887.13",245.86
109,9,新北市,44193.50,35803.28,"53,953.04","10,135.94",412.44
109,9,連江縣,195.73,195.73,209.29,277.09,48.22
109,9,金門縣,625.19,625.19,"1,390.41",447.34,55.98
109,9,嘉義市,4289.28,4125.86,"5,600.76",579.98,73.36
109,9,新竹市,6217.95,5741.80,"9,392.17","1,068.04",384.87
109,9,基隆市,7467.78,6709.38,"9,250.38",523.59,32.63
109,9,澎湖縣,2159.71,1593.79,"1,908.25",408.55,41.87
109,9,花蓮縣,4879.33,4870.28,"7,140.05",584.34,19.34
109,9,臺東縣,3152.53,2966.74,"4,492.45",468.76,4.23
109,9,屏東縣,9620.03,9591.42,"14,950.43",958.36,61.90
109,9,嘉義縣,5878.73,5252.21,"9,432.61","1,159.28",104.27
109,9,雲林縣,8189.59,8062.25,"10,709.41","1,025.29",170.44
109,9,南投縣,7770.21,7461.31,"14,450.95",613.34,76.25
109,9,彰化縣,22152.25,18589.58,"27,759.84","1,397.55",45.99
109,9,苗栗縣,7390.87,6535.62,"8,344.97","1,352.91",156.09
109,9,新竹縣,7711.80,7541.41,"11,896.10",794.41,181.82
109,9,宜蘭縣,6172.56,5871.01,"8,478.53",858.30,154.73
109,9,高雄市,49637.86,37546.81,"60,671.17","2,559.01",13.80
109,9,臺南市,26235.84,22846.64,"44,092.03","4,978.79",745.29
109,9,臺中市,37826.28,26812.68,"48,228.27","6,802.24",706.79
109,9,臺北市,17041.13,14702.16,"38,527.20","4,847.83",962.91
109,8,桃園市,40970.41,38780.63,"61,139.74","2,677.02",83.48
109,8,臺北市,18791.78,16456.79,"42,424.74","5,131.40","1,209.27"
109,8,新北市,45204.40,36686.98,"51,742.83","10,206.83",142.94
109,8,連江縣,200.53,200.53,224.45,274.24,47.37
109,8,金門縣,649.50,649.50,"1,341.47",457.33,34.39
109,8,嘉義市,4651.56,4509.27,"5,835.90",543.37,123.56
109,8,新竹市,7040.73,6239.22,"9,236.20","1,029.67",476.45
109,8,基隆市,7877.42,7049.09,"9,275.66",508.18,24.42
109,8,澎湖縣,2509.03,1844.53,"1,907.03",504.40,41.50
109,8,花蓮縣,5279.65,5227.76,"6,834.09",618.33,25.28
109,8,臺東縣,3496.49,3323.58,"4,981.43",469.53,1.01
109,8,屏東縣,11370.98,11349.54,"15,382.36",903.12,52.34
109,8,嘉義縣,5959.82,5294.82,"9,421.69","1,159.71",113.51
109,8,雲林縣,8844.80,8678.88,"10,684.07",999.58,143.88
109,8,南投縣,8260.76,7902.54,"12,384.21",613.37,101.94
109,8,彰化縣,23185.22,19793.32,"27,624.46","1,293.46",55.67
109,8,苗栗縣,7635.05,6773.28,"13,874.79","1,463.23",166.34
109,8,新竹縣,8113.86,7895.40,"11,511.08",785.05,110.50
109,8,宜蘭縣,6790.58,6379.78,"9,139.83",823.79,172.87
109,8,高雄市,55844.78,43785.65,"62,047.18","2,762.68",14.51
109,8,臺南市,28653.77,23888.48,"45,157.52","4,956.10",648.30
109,8,臺中市,40223.06,28767.20,"49,362.61","6,932.33",697.01
109,7,桃園市,41515.39,39052.38,"64,982.87","2,845.25",100.98
109,7,新北市,44242.69,35253.80,"112,221.63","10,864.98",126.95
109,7,連江縣,201.07,201.07,203.99,270.29,46.40
109,7,金門縣,665.20,665.20,"1,417.25",473.64,72.93
109,7,嘉義市,4568.47,4421.52,"5,959.44",620.16,49.07
109,7,新竹市,6702.35,6245.38,"9,311.45","1,074.69",348.72
109,7,基隆市,8097.12,7263.60,"9,257.87",506.37,21.09
109,7,澎湖縣,2319.19,1704.19,"1,967.44",471.25,34.23
109,7,花蓮縣,5308.66,5247.37,"6,772.32",613.96,44.28
109,7,臺東縣,3472.59,3276.67,"5,044.22",458.70,0.40
109,7,屏東縣,11765.42,11745.90,"14,891.26",913.56,58.10
109,7,嘉義縣,5991.16,5358.30,"9,503.21",990.60,134.65
109,7,雲林縣,9303.03,9108.19,"10,718.85","1,150.36",120.73
109,7,南投縣,8399.86,8027.73,"7,948.76",650.16,72.83
109,7,彰化縣,24955.18,21086.40,"26,136.50","1,293.34",44.76
109,7,苗栗縣,7888.88,7038.82,"7,351.59","1,420.20",210.45
109,7,新竹縣,7999.61,7817.25,"11,542.17",782.74,79.99
109,7,宜蘭縣,6846.41,6407.09,"9,112.18",798.20,194.38
109,7,高雄市,54592.09,43368.11,"63,774.43","2,754.61",17.32
109,7,臺南市,30137.53,24227.08,"45,421.22","5,008.92",763.31
109,7,臺中市,39813.28,28540.59,"47,368.45","6,679.21",907.70
109,7,臺北市,18622.43,16337.41,"45,896.72","5,301.81","1,393.71"
109,6,臺北市,18698.94,16479.01,"45,288.48","5,369.82","1,356.88"
109,6,新北市,43710.34,36893.59,"51,115.31","11,312.14",172.20
109,6,連江縣,180.45,180.45,168.92,272.78,46.63
109,6,金門縣,618.16,618.16,"1,354.13",479.75,39.17
109,6,嘉義市,4710.81,4561.24,"6,148.92",595.51,54.00
109,6,新竹市,7416.72,7237.26,"8,514.43","1,110.10",375.88
109,6,基隆市,8259.48,7401.62,"9,245.85",529.35,11.59
109,6,澎湖縣,2158.48,1640.51,"1,801.24",409.95,39.15
109,6,花蓮縣,5320.32,5270.94,"6,542.17",591.38,97.30
109,6,臺東縣,3169.77,3037.74,"4,428.38",425.27,3.61
109,6,屏東縣,11611.08,11556.39,"14,983.14",942.38,47.12
109,6,嘉義縣,5842.35,5149.24,"9,250.25",994.06,103.95
109,6,雲林縣,9733.59,9481.66,"10,233.13","1,114.86",109.52
109,6,南投縣,8091.80,7726.32,"6,892.20",610.62,58.24
109,6,彰化縣,24501.40,21129.73,"25,250.08","1,355.29",76.33
109,6,苗栗縣,8325.61,7550.10,"7,235.46","1,465.90",193.47
109,6,新竹縣,8344.43,8135.38,"11,314.70",774.81,96.34
109,6,宜蘭縣,6801.83,6332.33,"8,897.87",849.68,154.98
109,6,高雄市,57830.06,46547.89,"68,222.34","2,853.37",17.90
109,6,臺南市,34483.68,25053.22,"45,248.32","4,912.01",531.38
109,6,臺中市,39592.79,28743.58,"46,137.65","6,613.76",665.73
109,6,桃園市,42786.79,40495.05,"64,359.09","2,902.71",16.18
109,5,桃園市,41963.44,40207.52,"64,898.78","2,785.66",150.80
109,5,連江縣,176.03,176.03,192.65,271.40,46.15
109,5,金門縣,618.85,618.85,"1,353.03",465.82,40.37
109,5,嘉義市,4577.18,4410.03,"6,103.98",588.80,111.04
109,5,新竹市,7888.71,7493.22,"8,485.69","1,163.96",294.69
109,5,基隆市,8216.20,7332.53,"9,015.63",538.41,21.49
109,5,澎湖縣,2020.12,1978.17,"1,689.32",357.84,33.79
109,5,花蓮縣,5181.78,5159.60,"6,835.24",565.18,29.98
109,5,臺東縣,3225.93,3049.86,"4,396.13",375.34,4.30
109,5,屏東縣,11303.52,11245.29,"15,147.57",945.32,48.53
109,5,嘉義縣,6159.00,5131.56,"9,264.64","1,002.66",102.83
109,5,雲林縣,9708.59,9495.04,"10,312.72","1,148.82",106.80
109,5,南投縣,8345.92,8019.12,"6,756.97",623.21,110.22
109,5,彰化縣,23934.65,20518.43,"24,384.76","1,407.53",95.70
109,5,苗栗縣,8361.37,7454.84,"11,335.76","1,415.91",160.69
109,5,新竹縣,8457.61,8232.38,"10,958.70",768.70,57.67
109,5,宜蘭縣,6684.79,6316.48,"8,766.02",838.56,155.11
109,5,高雄市,55283.05,44009.56,"65,292.22","2,739.66",18.85
109,5,臺南市,29379.02,24110.37,"45,602.86","5,005.48",536.07
109,5,臺中市,41445.31,30504.14,"45,943.06","5,613.20",557.32
109,5,臺北市,18606.04,16465.52,"42,558.16","5,532.68","1,254.45"
109,5,新北市,43287.11,36510.51,"50,632.88","11,372.93",264.35
109,4,臺東縣,2968.40,2968.40,"4,117.39",387.52,9.76
109,4,桃園市,38708.47,36807.76,"64,456.69","2,675.22",130.63
109,4,連江縣,163.34,163.34,192.84,270.32,45.61
109,4,金門縣,581.03,581.03,"1,199.94",425.91,38.42
109,4,嘉義市,4174.55,4040.28,"5,991.98",564.58,72.66
109,4,新竹市,6712.40,6509.00,"8,438.74",974.19,304.27
109,4,基隆市,7591.25,6798.69,"8,930.56",510.73,17.46
109,4,澎湖縣,1837.08,1797.59,"1,619.76",335.94,29.65
109,4,花蓮縣,4797.86,4759.76,"6,679.65",491.27,21.44
109,4,屏東縣,10184.92,10127.82,"13,997.69",914.04,52.69
109,4,嘉義縣,6003.85,5116.89,"9,214.78","1,004.74",89.52
109,4,雲林縣,9245.78,9046.52,"10,092.58","1,096.47",94.81
109,4,南投縣,7969.30,7687.38,"6,831.27",580.01,90.41
109,4,彰化縣,21583.14,18764.05,"22,850.71","1,406.88",76.20
109,4,苗栗縣,7795.50,7128.12,"6,863.89","1,236.18",188.68
109,4,新竹縣,7718.83,7471.40,"10,126.38",721.01,50.74
109,4,宜蘭縣,5857.75,5573.46,"7,903.89",751.29,134.33
109,4,高雄市,51188.57,41600.04,"66,367.60","2,430.59",13.49
109,4,臺南市,27908.74,23812.52,"45,578.57","5,259.23",551.57
109,4,臺北市,18102.62,16208.75,"39,854.82","4,958.68","1,115.95"
109,4,臺中市,45938.25,28662.08,"45,667.53","3,745.84",664.58
109,4,新北市,43748.05,36242.98,"51,197.48","10,405.93",19.45
109,3,桃園市,40579.16,38147.09,"64,592.84","2,716.71",71.64
109,3,連江縣,180.46,180.46,235.87,269.84,46.02
109,3,臺北市,21203.07,16002.07,"38,107.36","5,025.99","1,172.46"
109,3,金門縣,584.27,584.27,"1,273.55",444.35,46.21
109,3,嘉義市,4218.20,4059.24,"5,658.03",513.29,83.69
109,3,新竹市,6467.14,6185.33,"8,439.53",898.90,314.45
109,3,基隆市,7636.44,6861.20,"9,015.46",565.84,83.50
109,3,澎湖縣,1874.61,1812.61,"1,741.05",349.81,38.84
109,3,花蓮縣,4982.76,4907.22,"6,636.22",503.46,28.81
109,3,臺東縣,3103.28,2969.29,"4,275.88",408.92,9.51
109,3,新北市,43878.36,35736.89,"51,504.86","12,145.52",230.59
109,3,屏東縣,11832.74,11774.66,"14,182.36",963.01,62.92
109,3,嘉義縣,5849.12,5064.81,"9,031.22","1,009.69",61.28
109,3,雲林縣,9486.40,9292.06,"10,002.97","1,065.27",135.12
109,3,南投縣,8042.80,7776.91,"7,696.75",614.24,88.25
109,3,彰化縣,22838.59,20171.05,"24,751.81","1,480.11",84.86
109,3,苗栗縣,8146.59,7273.82,"7,565.38","1,258.66",158.50
109,3,新竹縣,8157.45,7902.48,"10,363.79",746.34,59.45
109,3,宜蘭縣,6544.01,6128.87,"8,466.91",761.49,161.00
109,3,高雄市,51990.08,42175.26,"67,155.83","2,379.04",18.71
109,3,臺南市,29143.55,23909.28,"45,799.36","5,431.25","1,303.29"
109,3,臺中市,47259.88,30467.85,"45,560.87","3,947.69",789.76
109,2,新北市,43850.85,35515.74,"54,351.27","9,893.41",99.02
109,2,連江縣,153.62,153.62,184.71,274.05,46.46
109,2,金門縣,620.41,620.41,"1,237.39",391.90,46.23
109,2,嘉義市,4203.68,4100.71,"5,935.02",485.61,29.56
109,2,新竹市,6212.81,5798.57,"8,436.49",896.60,339.56
109,2,基隆市,7123.53,6414.57,"8,842.35",507.46,57.07
109,2,澎湖縣,1400.57,1355.57,"1,818.20",293.29,35.48
109,2,花蓮縣,4617.74,4548.19,"5,692.02",479.69,31.27
109,2,臺東縣,3060.49,2909.18,"4,113.27",389.78,9.92
109,2,屏東縣,11630.05,11569.90,"14,540.86",901.46,52.75
109,2,嘉義縣,5797.82,5257.02,"8,976.68",960.77,98.43
109,2,雲林縣,8831.69,8690.24,"9,623.38","1,146.24",109.89
109,2,南投縣,7838.76,7568.02,"6,820.52",642.39,45.08
109,2,彰化縣,22232.73,19157.05,"26,340.16","1,186.42",42.02
109,2,苗栗縣,7895.55,7027.71,"7,942.05","1,244.10",179.72
109,2,新竹縣,7822.00,7665.24,"10,008.78",733.78,66.99
109,2,宜蘭縣,5654.63,5314.58,"7,880.92",686.24,169.14
109,2,高雄市,49203.58,38892.44,"68,222.66","2,553.93",76.40
109,2,臺南市,31303.75,25416.09,"40,661.74","5,561.17","1,056.33"
109,2,臺中市,47018.85,30113.59,"44,898.86","3,788.46",723.50
109,2,桃園市,38692.35,36545.03,"61,325.56","2,740.84",86.79
109,2,臺北市,21230.77,16176.77,"37,338.25","4,706.43","1,022.71"
109,1,新北市,55670.57,37632.00,"54,719.36","10,183.29",201.02
109,1,連江縣,509.07,509.07,248.37,287.28,116.36
109,1,金門縣,730.19,730.19,"1,407.89",500.54,76.34
109,1,嘉義市,5120.15,5010.36,"6,773.36",533.05,49.78
109,1,新竹市,7134.65,6149.13,"8,519.96",893.90,408.19
109,1,基隆市,9198.81,8311.05,"9,326.00",623.55,92.12
109,1,澎湖縣,1532.36,1464.16,"1,774.73",404.21,44.84
109,1,花蓮縣,5854.12,5765.08,"6,952.73",522.19,60.09
109,1,臺東縣,3733.20,3567.50,"3,781.70",466.45,13.34
109,1,屏東縣,10486.17,10146.54,"14,300.33","1,033.32",100.92
109,1,嘉義縣,5990.28,5382.86,"9,177.24",958.89,124.40
109,1,雲林縣,11278.12,11151.48,"10,230.99","1,260.86",151.46
109,1,南投縣,8759.74,8746.64,"7,893.74",658.04,265.83
109,1,彰化縣,27022.26,23463.83,"23,321.64","1,378.98",79.21
109,1,苗栗縣,9973.09,8896.12,"7,818.65","1,317.22",234.15
109,1,新竹縣,8470.25,8336.11,"10,627.83",694.87,101.94
109,1,宜蘭縣,7282.52,7030.26,"9,467.66",871.64,251.45
109,1,高雄市,59261.98,49216.63,"63,852.29","2,577.66",120.98
109,1,臺南市,33936.88,26773.73,"49,656.90","5,588.01","1,136.22"
109,1,臺中市,50673.63,35073.63,"48,207.04","4,021.58",844.71
109,1,桃園市,44188.64,42672.04,"62,235.61","2,733.01",61.43
109,1,臺北市,24603.46,18831.46,"41,665.20","4,868.50","1,148.26"
108,12,新北市,55461.02,37033.65,"83,009.51","10,307.24",251.97
108,12,連江縣,187.16,187.16,299.06,289.21,47.88
108,12,金門縣,628.28,628.28,"1,375.47",449.91,52.66
108,12,嘉義市,4436.35,4375.46,"6,625.74",525.83,52.45
108,12,新竹市,6297.88,5442.67,"8,364.07",903.18,350.20
108,12,基隆市,7515.00,6730.00,"8,485.21",613.42,78.66
108,12,澎湖縣,1605.73,1543.43,"1,913.15",325.14,45.30
108,12,花蓮縣,4752.95,4752.95,"5,361.10",518.84,22.00
108,12,臺東縣,3043.21,2881.37,"3,904.24",418.75,10.74
108,12,屏東縣,11221.87,10862.38,"16,089.43",948.29,53.67
108,12,嘉義縣,6214.04,5292.46,"9,081.54",938.15,86.55
108,12,雲林縣,9078.79,8816.71,"10,204.72","1,245.56",120.99
108,12,南投縣,7755.55,7566.22,"8,350.33",672.80,40.17
108,12,彰化縣,23220.84,19995.29,"23,465.42","1,459.28",84.76
108,12,苗栗縣,8004.16,7187.47,"14,882.38","1,257.07",293.36
108,12,新竹縣,7658.05,7478.95,"11,067.53",709.44,18.19
108,12,宜蘭縣,6493.62,6130.45,"7,925.89",867.30,170.16
108,12,高雄市,48798.06,40206.29,"55,425.23","2,299.56",142.27
108,12,臺南市,32887.99,23325.65,"49,184.76","4,900.22","1,002.06"
108,12,臺中市,55050.01,31640.92,"45,713.27","3,953.77",841.55
108,12,桃園市,39080.40,37527.63,"62,179.06","2,874.12",13.89
108,12,臺北市,21747.19,16487.19,"39,848.98","4,791.90",921.23
105,3,彰化縣,"32,444","17,194","13,826","1,278",146
105,3,金門縣,"2,410","1,233",988,157,32
105,3,連江縣,406,167,129,67,43
105,3,嘉義市,"8,358","3,519","3,891",761,187
105,3,新竹市,"11,446","4,977","5,386",857,226
105,3,基隆市,"11,149","5,010","5,145",923,71
105,3,澎湖縣,"2,729","1,248","1,118",310,53
105,3,花蓮縣,"8,922","4,538","3,904",465,15
105,3,臺東縣,"6,519","2,871","3,053",570,25
105,3,屏東縣,"22,600","11,638","9,961",930,71
105,3,嘉義縣,"14,722","6,730","6,823","1,109",60
105,3,雲林縣,"15,836","8,305","6,204","1,041",286
105,3,南投縣,"15,730","7,424","6,698","1,590",18
105,3,苗栗縣,"14,815","7,711","5,947","1,040",117
105,3,新竹縣,"13,587","6,246","6,123","1,149",69
105,3,桃園市,"65,694","36,552","26,582","2,517",43
105,3,宜蘭縣,"14,720","5,976","6,068","2,477",199
105,3,高雄市,"75,850","33,788","33,831","7,885",346
105,3,臺南市,"50,797","20,237","24,189","5,707",664
105,3,臺中市,"65,330","31,024","30,503","3,448",355
105,3,臺北市,"65,794","21,739","37,585","5,472",998
105,3,新北市,"76,681","28,762","37,967","9,785",167
108,11,嘉義縣,6192.28,5261.10,"9,213.18",926.92,81.21
108,11,連江縣,158.06,158.06,300.46,287.43,47.80
108,11,金門縣,617.49,617.49,"1,337.32",438.25,44.06
108,11,嘉義市,4248.37,4151.24,"6,835.61",517.14,86.85
108,11,新竹市,5836.71,4983.50,"8,469.94",875.05,510.40
108,11,基隆市,7270.87,6443.27,"8,505.01",580.76,68.94
108,11,澎湖縣,1467.81,1399.81,"1,820.02",312.13,32.75
108,11,花蓮縣,4520.91,4520.91,"5,663.53",483.93,23.00
108,11,臺東縣,2637.20,2611.25,"4,426.24",310.70,12.76
108,11,屏東縣,11914.18,11589.45,"16,149.21","1,057.36",89.38
108,11,雲林縣,8576.57,8470.75,"10,133.81","1,229.53",127.87
108,11,南投縣,7047.18,6847.13,"14,625.25",652.45,40.48
108,11,彰化縣,21850.97,19118.84,"23,898.06","1,328.05",87.81
108,11,苗栗縣,7569.02,6671.38,"9,846.85","1,232.62",292.16
108,11,新竹縣,7457.88,7332.96,"10,833.04",671.96,20.14
108,11,宜蘭縣,5733.21,5378.75,"7,488.46",876.68,187.29
108,11,高雄市,47486.74,38365.43,"56,423.84","2,181.03",164.74
108,11,臺南市,25769.35,20509.89,"50,330.53","4,941.78","1,174.35"
108,11,臺中市,50948.79,29090.20,"45,464.08","3,951.69",683.26
108,11,桃園市,35296.75,33700.08,"64,533.02","2,790.45",90.77
108,11,臺北市,21602.71,16465.71,"40,079.35","4,655.91",673.48
108,11,新北市,53881.35,36227.55,"61,839.20","9,780.36",240.31
108,10,臺北市,21820.81,16463.81,"40,583.51","4,943.15",776.67
108,10,連江縣,169.94,169.94,294.13,286.23,46.73
108,10,金門縣,587.15,587.15,"1,266.92",452.09,42.69
108,10,嘉義市,4438.28,4362.09,"6,823.27",534.13,91.87
108,10,新竹市,5969.74,5104.09,"8,464.05",882.93,372.51
108,10,基隆市,7829.75,6920.42,"8,504.29",628.74,90.39
108,10,澎湖縣,1666.45,1605.45,"1,820.02",397.33,33.09
108,10,花蓮縣,4908.71,4908.71,"6,125.53",530.38,29.22
108,10,臺東縣,2953.44,2689.50,"4,218.05",343.80,10.68
108,10,屏東縣,11177.46,10903.19,"15,877.19","1,062.59",57.56
108,10,新北市,54176.76,36454.71,"55,774.40","10,202.69",115.91
108,10,嘉義縣,6228.77,5269.23,"9,184.41",934.65,109.05
108,10,雲林縣,8520.70,8384.83,"13,939.09","1,121.66",160.04
108,10,南投縣,7391.06,7178.50,"8,061.86",677.18,37.43
108,10,彰化縣,20728.42,18569.04,"24,712.53","1,378.71",89.38
108,10,苗栗縣,7834.78,6963.57,"9,752.75","1,315.56",373.02
108,10,新竹縣,7563.27,7435.25,"11,116.50",676.56,13.37
108,10,宜蘭縣,6452.21,6027.47,"8,107.83",907.12,181.00
108,10,高雄市,47705.10,38969.34,"57,356.44","1,972.31",196.29
108,10,臺南市,27104.16,22352.20,"45,680.64","4,983.94","1,106.35"
108,10,臺中市,50144.14,28840.09,"45,270.51","3,747.54",600.83
108,10,桃園市,39837.02,37871.91,"63,406.04","2,949.22",10.70
108,9,雲林縣,8695.23,8476.53,"12,393.35","1,145.15",129.13
108,9,連江縣,149.96,149.96,348.07,285.83,47.03
108,9,金門縣,539.73,539.73,"1,280.56",487.29,52.02
108,9,嘉義市,5543.61,5460.44,"6,819.96",480.36,206.15
108,9,新竹市,5904.80,5055.91,"8,500.74",863.83,348.83
108,9,基隆市,6988.46,6174.15,"8,502.16",581.72,91.96
108,9,澎湖縣,1925.39,1869.39,"1,893.21",285.34,26.96
108,9,花蓮縣,4487.93,4487.93,"6,075.89",457.00,25.89
108,9,臺東縣,2884.53,2708.68,"4,142.46",331.29,7.50
108,9,屏東縣,14750.67,14399.31,"16,357.24","1,049.17",58.02
108,9,嘉義縣,6395.89,5432.99,"9,215.06",947.81,89.09
108,9,南投縣,7597.90,7355.17,"7,376.68",657.73,48.56
108,9,彰化縣,22001.64,19370.60,"25,568.86","1,307.10",83.12
108,9,苗栗縣,7490.85,6683.27,"11,845.36","1,249.53",342.04
108,9,新竹縣,7081.81,6953.70,"10,542.77",677.26,13.23
108,9,宜蘭縣,5890.48,5669.50,"7,951.28",854.78,162.48
108,9,高雄市,47405.64,39314.69,"58,229.59","2,119.65",177.38
108,9,臺南市,34182.31,25717.57,"37,443.16","5,019.45","1,007.76"
108,9,臺中市,54525.96,31002.71,"43,597.31","3,328.90",594.73
108,9,桃園市,35019.67,33249.51,"61,462.97","2,887.23",108.70
108,9,臺北市,21454.85,16492.85,"40,042.16","4,384.55",694.53
108,9,新北市,52687.21,35934.05,"55,735.51","9,176.32",180.61
108,8,嘉義縣,6458.38,5438.91,"9,502.57",943.04,129.99
108,8,連江縣,153.88,153.88,354.95,284.48,46.98
108,8,金門縣,628.08,628.08,"1,355.56",490.17,52.69
108,8,嘉義市,6149.85,6064.00,"6,634.32",408.54,161.32
108,8,新竹市,6119.41,5216.36,"8,498.50",862.63,426.06
108,8,基隆市,7705.80,6901.99,"8,634.89",495.66,73.32
108,8,澎湖縣,1556.03,1510.03,"1,878.58",297.36,34.36
108,8,花蓮縣,5156.61,5156.61,"6,510.33",528.18,33.97
108,8,臺東縣,3377.98,3109.46,"4,299.74",316.89,8.37
108,8,屏東縣,17073.43,16748.09,"18,571.75","1,047.62",57.18
108,8,雲林縣,8479.22,8298.30,"10,167.38","1,212.82",131.94
108,8,南投縣,7840.85,7629.46,"8,725.92",680.07,49.65
108,8,彰化縣,25065.77,22614.87,"27,841.95","1,183.72",78.35
108,8,苗栗縣,8497.34,7590.46,"8,631.61","1,416.78",291.03
108,8,新竹縣,8124.53,7713.12,"10,600.30",688.29,10.33
108,8,宜蘭縣,6461.09,6196.85,"8,567.69",912.51,186.48
108,8,高雄市,52930.14,43453.94,"59,959.20","1,286.48",174.98
108,8,臺南市,36316.87,24876.23,"37,801.49","4,996.58",983.15
108,8,臺中市,58076.62,31782.41,"44,565.09","3,632.99",653.80
108,8,桃園市,39544.94,37726.53,"61,181.41","2,851.23",225.25
108,8,臺北市,21675.72,16289.72,"41,055.60","5,258.66",722.92
108,8,新北市,54727.87,35771.67,"170,375.37","10,463.27",169.18
108,7,臺北市,21617.94,16315.94,"40,640.54","5,294.47","1,177.31"
108,7,連江縣,181.30,181.30,345.65,282.39,46.02
108,7,金門縣,653.65,653.65,"1,451.83",514.04,45.42
108,7,嘉義市,5719.67,5619.33,"6,593.37",489.49,164.62
108,7,新竹市,6526.68,5625.62,"8,492.30",853.36,421.03
108,7,基隆市,7855.06,6943.76,"8,760.35",482.55,82.00
108,7,澎湖縣,1640.43,1590.43,"1,897.10",396.94,33.94
108,7,花蓮縣,5134.54,5134.54,"6,253.08",541.57,38.47
108,7,臺東縣,3379.45,3097.24,"4,673.21",333.10,9.65
108,7,屏東縣,18112.00,17768.47,"15,569.45","1,001.42",86.31
108,7,新北市,56111.33,36223.03,"54,526.87","10,807.29",233.15
108,7,嘉義縣,6624.93,5592.30,"9,250.27",935.31,112.12
108,7,雲林縣,7705.42,7527.44,"9,346.32","1,230.69",139.59
108,7,南投縣,7959.44,7669.64,"7,260.08",663.85,44.97
108,7,彰化縣,23811.14,21231.60,"25,052.79","1,217.95",169.89
108,7,苗栗縣,8441.53,7437.57,"9,669.82","1,350.53",348.71
108,7,新竹縣,8080.94,7642.04,"10,753.48",706.13,15.59
108,7,宜蘭縣,6561.61,6015.26,"8,503.04",918.30,208.98
108,7,高雄市,52972.78,43534.94,"61,691.02","1,360.79",188.57
108,7,臺南市,31472.37,26455.71,"37,765.90","5,049.82","1,201.62"
108,7,臺中市,58282.82,31865.70,"49,382.43","3,227.38",669.72
108,7,桃園市,40072.26,38200.04,"59,871.24","2,827.04",121.46
107,9,雲林縣,"18,425","7,832","8,948","1,354",290
107,9,連江縣,657,160,302,159,36
107,9,金門縣,"2,316",555,"1,235",488,39
107,9,嘉義市,"11,816","5,194","5,691",867,64
107,9,新竹市,"15,032","5,029","8,310","1,334",358
107,9,基隆市,"15,314","6,108","8,156",975,76
107,9,澎湖縣,"3,661","1,350","1,939",338,35
107,9,花蓮縣,"9,798","4,740","4,631",403,24
107,9,臺東縣,"7,738","2,600","4,504",633,1
107,9,屏東縣,"34,832","16,811","16,057",949,"1,015"
107,9,嘉義縣,"15,628","5,189","8,914","1,460",65
107,9,南投縣,"14,849","7,444","6,765",597,42
